Date,Asset Number,Client,Price,Inspection Type,Task,Start,Finish
2019-09-25,Yard gantry,Beaver Truck,"$1,200",Quarterly,Beaver Truck,2019-09-25,2019-10-02
2019-09-25,50407703,CP478,"$1,200",Quarterly,CP478,2019-09-25,2019-10-02
2019-09-25,50405677,CP478,"$1,200",Quarterly,CP478,2019-09-25,2019-10-02
2019-09-26,PU-8803,CN150,"$1,200",Quarterly,CN150,2019-09-26,2019-10-03
2019-09-26,50560090,CP478,"$1,200",Quarterly,CP478,2019-09-26,2019-10-03
2019-09-26,50560089,CP478,"$1,200",Quarterly,CP478,2019-09-26,2019-10-03
2019-09-26,50347344,Ancast,"$1,200",Quarterly,Ancast,2019-09-26,2019-10-03
2019-09-27,50350191,CP478,"$1,200",Quarterly,CP478,2019-09-27,2019-10-04
2019-09-27,50552962,CP478,"$1,200",Quarterly,CP478,2019-09-27,2019-10-04
2019-09-28,Lunch room plug,AM Castle,"$1,200",Quarterly,AM Castle,2019-09-28,2019-10-05
2019-09-28,50347345,Ancast,"$1,200",Quarterly,Ancast,2019-09-28,2019-10-05
2019-09-29,50366375,CP478,"$1,200",Quarterly,CP478,2019-09-29,2019-10-06
2019-09-29,Reagent hoist,Cabot Corporation,"$1,200",Quarterly,Cabot Corporation,2019-09-29,2019-10-06
2019-09-29,50405318,CP478,"$1,200",Quarterly,CP478,2019-09-29,2019-10-06
2019-09-29,50347456,CP478,"$1,200",Quarterly,CP478,2019-09-29,2019-10-06
2019-09-29,Munck,Ryerson Wilson Pl.,"$1,200",Quarterly,Ryerson Wilson Pl.,2019-09-29,2019-10-06
2019-09-29,50556683,CP478,"$1,200",Quarterly,CP478,2019-09-29,2019-10-06
2019-09-29,50552799,CP478,"$1,200",Quarterly,CP478,2019-09-29,2019-10-06
2019-10-02,"25 ton P&H

",Carte,"$1,200",Quarterly,Carte,2019-10-02,2019-10-09
2019-10-03,50350253,CP478,"$1,200",Quarterly,CP478,2019-10-03,2019-10-10
2019-10-03,50381674,CP478,"$1,200",Quarterly,CP478,2019-10-03,2019-10-10
2019-10-03,50534932,CP478,"$1,200",Quarterly,CP478,2019-10-03,2019-10-10
2019-10-03,50514945,CP478,"$1,200",Quarterly,CP478,2019-10-03,2019-10-10
2019-10-04,25 ton P&H,Cascadia Metals Ltd.,"$1,200",Quarterly,Cascadia Metals Ltd.,2019-10-04,2019-10-11
2019-10-04,CGC428,"TRMC - Toromont CAT, Brandon MB","$1,200",Quarterly,"TRMC - Toromont CAT, Brandon MB",2019-10-04,2019-10-11
2019-10-05,50560544,CP478,"$1,200",Quarterly,CP478,2019-10-05,2019-10-12
2019-10-05,50381033,CP478,"$1,200",Quarterly,CP478,2019-10-05,2019-10-12
2019-10-06,50350229,CP478,"$1,200",Quarterly,CP478,2019-10-06,2019-10-13
2019-10-06,Weld booth 4 jib,Carte,"$1,200",Quarterly,Carte,2019-10-06,2019-10-13
2019-10-09,50350211,CP478,"$1,200",Quarterly,CP478,2019-10-09,2019-10-16
2019-10-09,50350228,CP478,"$1,200",Quarterly,CP478,2019-10-09,2019-10-16
2019-10-09,50350249,CP478,"$1,200",Quarterly,CP478,2019-10-09,2019-10-16
2019-10-10,7.5 ton Demag,Ryerson Wilson Pl.,"$1,200",Quarterly,Ryerson Wilson Pl.,2019-10-10,2019-10-17
2019-10-10,50628987,CP478,"$1,200",Quarterly,CP478,2019-10-10,2019-10-17
2019-10-10,York Ennis,Russel metals,"$1,200",Quarterly,Russel metals,2019-10-10,2019-10-17
2019-10-10,50936808,CP478,"$1,200",Quarterly,CP478,2019-10-10,2019-10-17
2019-10-11,25 ton munck,CN738,"$1,200",Quarterly,CN738,2019-10-11,2019-10-18
2019-10-11,High Bay Demag 10-Ton,Carte,"$1,200",Quarterly,Carte,2019-10-11,2019-10-18
2019-10-11,Minto Armory Vehicle Lift,Black & McDonald Ltd.,"$1,200",Quarterly,Black & McDonald Ltd.,2019-10-11,2019-10-18
2019-10-11,50561051,0,"$1,200",Quarterly,0,2019-10-11,2019-10-18
2019-10-11,50407279,CP478,"$1,200",Quarterly,CP478,2019-10-11,2019-10-18
2019-10-11,50659128,CP478,"$1,200",Quarterly,CP478,2019-10-11,2019-10-18
2019-10-12,Vehicle lift 7000 lbs,Black & McDonald Ltd.,"$1,200",Quarterly,Black & McDonald Ltd.,2019-10-12,2019-10-19
2019-10-12,50381691/19,CP478,"$1,200",Quarterly,CP478,2019-10-12,2019-10-19
2019-10-12,50381691,CP478,"$1,200",Quarterly,CP478,2019-10-12,2019-10-19
2019-10-13,50407699,CP478,"$1,200",Quarterly,CP478,2019-10-13,2019-10-20
2019-10-16,West 10 ton Demag,Carte,"$1,200",Quarterly,Carte,2019-10-16,2019-10-23
2019-10-16,50350190,CP478,"$1,200",Quarterly,CP478,2019-10-16,2019-10-23
2019-10-16,50659165,CP478,"$1,200",Quarterly,CP478,2019-10-16,2019-10-23
2019-10-16,50350244,CP478,"$1,200",Quarterly,CP478,2019-10-16,2019-10-23
2019-10-16,50659105,CP478,"$1,200",Quarterly,CP478,2019-10-16,2019-10-23
2019-10-16,50628988,CP478,"$1,200",Quarterly,CP478,2019-10-16,2019-10-23
2019-10-16,50659166,CP478,"$1,200",Quarterly,CP478,2019-10-16,2019-10-23
2019-10-16,PU-4658,CN150,"$1,200",Quarterly,CN150,2019-10-16,2019-10-23
2019-10-17,50350189,CP478,"$1,200",Quarterly,CP478,2019-10-17,2019-10-24
2019-10-18,50782626,CP478,"$1,200",Quarterly,CP478,2019-10-18,2019-10-25
2019-10-18,50782625,CP478,"$1,200",Quarterly,CP478,2019-10-18,2019-10-25
2019-10-18,North East Indoor Bridge Crane,Capitol Steel,"$1,200",Quarterly,Capitol Steel,2019-10-18,2019-10-25
2019-10-18,50810509,CP478,"$1,200",Quarterly,CP478,2019-10-18,2019-10-25
2019-10-18,50810508,CP478,"$1,200",Quarterly,CP478,2019-10-18,2019-10-25
2019-10-18,50561053,CP478,"$1,200",Quarterly,CP478,2019-10-18,2019-10-25
2019-10-18,50381675,CP478,"$1,200",Quarterly,CP478,2019-10-18,2019-10-25
2019-10-19,P&H crane,Cascadia Metals Ltd.,"$1,200",Quarterly,Cascadia Metals Ltd.,2019-10-19,2019-10-26
2019-10-20,4536,American Biaxis,"$1,200",Quarterly,American Biaxis,2019-10-20,2019-10-27
2019-10-20,BP1 Crane 1,American Biaxis,"$1,200",Quarterly,American Biaxis,2019-10-20,2019-10-27
2019-10-20,BP1 Crane 2,American Biaxis,"$1,200",Quarterly,American Biaxis,2019-10-20,2019-10-27
2019-10-20,6707,American Biaxis,"$1,200",Quarterly,American Biaxis,2019-10-20,2019-10-27
2019-10-20,Maintenance Shop Crane,American Biaxis,"$1,200",Quarterly,American Biaxis,2019-10-20,2019-10-27
